acquisition,configuration,fppi_budget,n_seeds,recall_mean,recall_sd
mterie,historical_additive,0.06025595860743578,5,0.14248587570621468,0.04524432627386974
mterie,historical_additive,0.06165950018614822,5,0.14259887005649716,0.045037852791963436
mterie,historical_additive,0.06309573444801933,5,0.14418079096045197,0.04528134922145394
mterie,historical_additive,0.06456542290346556,5,0.14418079096045197,0.04528134922145394
mterie,historical_additive,0.06606934480075961,5,0.14451977401129942,0.04499495469320811
mterie,historical_additive,0.06760829753919818,5,0.14519774011299436,0.04508637409800346
mterie,historical_additive,0.06918309709189363,5,0.14587570621468926,0.045401025891841515
mterie,historical_additive,0.0707945784384138,5,0.14757062146892655,0.04504104192714099
mterie,historical_additive,0.07244359600749899,5,0.147909604519774,0.04500914040684877
mterie,historical_additive,0.07413102413009177,5,0.14881355932203388,0.04493674644801945
mterie,historical_additive,0.07585775750291836,5,0.14915254237288134,0.04499601877686313
mterie,historical_additive,0.07762471166286919,5,0.15005649717514125,0.04393649859266327
mterie,historical_additive,0.07943282347242814,5,0.15084745762711865,0.04394993655261301
mterie,historical_additive,0.08128305161640995,5,0.15141242937853108,0.04411666130447583
mterie,historical_additive,0.08317637711026708,5,0.15231638418079096,0.04440800159328578
mterie,historical_additive,0.08511380382023767,5,0.15480225988700563,0.0470709970585327
mterie,historical_additive,0.08709635899560805,5,0.15480225988700563,0.0470709970585327
mterie,historical_additive,0.08912509381337459,5,0.15706214689265535,0.04870567697684137
mterie,historical_additive,0.09120108393559097,5,0.15728813559322033,0.04872795381211584
mterie,historical_additive,0.0933254300796991,5,0.15853107344632766,0.049174616771879134
mterie,historical_additive,0.09549925860214359,5,0.15898305084745762,0.04899416004716335
mterie,historical_additive,0.09772372209558107,5,0.16033898305084743,0.04923591863539436
mterie,historical_additive,0.1,5,0.16101694915254236,0.04933888956808618
mterie,historical_additive,0.10232929922807542,5,0.16192090395480227,0.04985311502783823
mterie,historical_additive,0.10471285480508996,5,0.16519774011299435,0.04963012350303225
mterie,historical_additive,0.10715193052376065,5,0.16576271186440678,0.049837105780526615
mterie,historical_additive,0.1096478196143185,5,0.16723163841807911,0.05144811575773428
mterie,historical_additive,0.11220184543019636,5,0.16813559322033897,0.051535830052326
mterie,historical_additive,0.1148153621496883,5,0.17039548022598872,0.05244295314235186
mterie,historical_additive,0.11748975549395298,5,0.17175141242937855,0.053138889537536614
mterie,historical_additive,0.12022644346174131,5,0.17389830508474574,0.05304630462550414
mterie,historical_additive,0.12302687708123818,5,0.17536723163841808,0.053404924180988286
mterie,historical_additive,0.12589254117941676,5,0.17672316384180792,0.052901693418896036
mterie,historical_additive,0.12882495516931342,5,0.17875706214689266,0.051722847567741446
mterie,historical_additive,0.13182567385564073,5,0.17988700564971752,0.05165491954071894
mterie,historical_additive,0.1348962882591654,5,0.1807909604519774,0.05223774152865
mterie,historical_additive,0.13803842646028852,5,0.1822598870056497,0.05204582820846153
mterie,historical_additive,0.14125375446227548,5,0.1846327683615819,0.05286849763997492
mterie,historical_additive,0.1445439770745927,5,0.18677966101694915,0.05439096636742006
mterie,historical_additive,0.1479108388168207,5,0.1880225988700565,0.05546716451356214
mterie,historical_additive,0.1513561248436208,5,0.1905084745762712,0.05394134182971341
mterie,historical_additive,0.1548816618912481,5,0.19209039548022597,0.053848951097466104
mterie,historical_additive,0.15848931924611134,5,0.1935593220338983,0.0538883549782315
mterie,historical_additive,0.16218100973589297,5,0.1951412429378531,0.05393424046928115
mterie,historical_additive,0.16595869074375605,5,0.19898305084745763,0.054862509835740425
mterie,historical_additive,0.16982436524617442,5,0.20067796610169492,0.054277586253424256
mterie,historical_additive,0.17378008287493754,5,0.20248587570621468,0.05575587110799996
mterie,historical_additive,0.1778279410038923,5,0.20372881355932204,0.05660244430075723
mterie,historical_additive,0.18197008586099836,5,0.20542372881355933,0.05708815204262608
mterie,historical_additive,0.18620871366628675,5,0.20779661016949152,0.057073892621184806
mterie,historical_additive,0.19054607179632474,5,0.21062146892655367,0.05831181803191452
mterie,historical_additive,0.19498445997580455,5,0.21220338983050852,0.058087229310269134
mterie,historical_additive,0.19952623149688797,5,0.21423728813559323,0.0587073344546637
mterie,historical_additive,0.20417379446695297,5,0.21672316384180795,0.05851972928480657
mterie,historical_additive,0.20892961308540398,5,0.21841807909604521,0.05910857479168358
mterie,historical_additive,0.21379620895022325,5,0.22158192090395482,0.05962446449181505
mterie,historical_additive,0.2187761623949553,5,0.22214689265536722,0.05972074779180097
mterie,historical_additive,0.223872113856834,5,0.22587570621468928,0.0612446056436867
mterie,historical_additive,0.22908676527677735,5,0.22858757062146892,0.06201655567319995
mterie,historical_additive,0.23442288153199228,5,0.22983050847457628,0.061928738833781555
mterie,historical_additive,0.2398832919019491,5,0.23412429378531074,0.06463262020448429
mterie,historical_additive,0.2454708915685031,5,0.23570621468926553,0.06406814535721501
mterie,historical_additive,0.25118864315095807,5,0.23751412429378532,0.06390752080286057
mterie,historical_additive,0.25703957827688634,5,0.239774011299435,0.06404721717328646
mterie,historical_additive,0.26302679918953814,5,0.24282485875706214,0.06523087604917872
mterie,historical_additive,0.26915348039269155,5,0.24531073446327678,0.065328668387922
mterie,historical_additive,0.2754228703338166,5,0.24870056497175144,0.06657611393003086
mterie,historical_additive,0.28183829312644537,5,0.2526553672316384,0.06957231994212223
mterie,historical_additive,0.28840315031266056,5,0.25661016949152543,0.06888995972186647
mterie,historical_additive,0.29512092266663853,5,0.2590960451977401,0.06902095970647167
mterie,historical_additive,0.3019951720402016,5,0.2614689265536723,0.06961933036353371
mterie,historical_additive,0.30902954325135906,5,0.2627118644067797,0.06907689448242316
mterie,historical_additive,0.31622776601683794,5,0.26463276836158195,0.06817760180103728
mterie,historical_additive,0.32359365692962827,5,0.2677966101694915,0.071366689564033
mterie,historical_additive,0.3311311214825911,5,0.2705084745762712,0.06928037370700647
mterie,historical_additive,0.33884415613920255,5,0.2748022598870057,0.06965851966509935
mterie,historical_additive,0.34673685045253166,5,0.27728813559322035,0.06949542959038794
mterie,historical_additive,0.35481338923357547,5,0.2805649717514124,0.06924143136830915
mterie,historical_additive,0.3630780547701014,5,0.2828248587570622,0.06944052145068542
mterie,historical_additive,0.37153522909717257,5,0.2848587570621469,0.0702457803764593
mterie,historical_additive,0.38018939632056126,5,0.28711864406779664,0.07108143991407706
mterie,historical_additive,0.38904514499428067,5,0.2896045197740113,0.07176875985854814
mterie,historical_additive,0.3981071705534973,5,0.29265536723163843,0.07277287946111356
mterie,historical_additive,0.40738027780411284,5,0.296045197740113,0.07347131256910994
mterie,historical_additive,0.41686938347033553,5,0.3012429378531073,0.0764231589112682
mterie,historical_additive,0.4265795188015928,5,0.30418079096045203,0.07620482570307485
mterie,historical_additive,0.4365158322401661,5,0.3067796610169492,0.0761371494341326
mterie,historical_additive,0.44668359215096326,5,0.3099435028248588,0.07625088660595158
mterie,historical_additive,0.4570881896148752,5,0.31310734463276835,0.077233312237244
mterie,historical_additive,0.4677351412871981,5,0.3175141242937853,0.07619267773593885
