acquisition,configuration,seed,fppi_budget,recall,within_collected_support,attained_fppi,threshold,reject_all,tp,fp,checkpoint_sha256
mterie,historical_additive,42,0.5,0.2824858757062147,True,0.5,0.14745482802391052,False,500,354,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
mterie,historical_additive,42,1.0,0.39152542372881355,True,1.0,0.09671912342309952,False,693,708,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7
mterie,historical_additive,43,0.1,0.17175141242937852,True,0.09887005649717515,0.379192054271698,False,304,70,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
mterie,historical_additive,43,0.5,0.34293785310734465,True,0.5,0.20301857590675354,False,607,354,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
mterie,historical_additive,43,1.0,0.45254237288135596,True,1.0,0.1421932578086853,False,801,708,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746
mterie,historical_additive,44,0.1,0.09096045197740113,True,0.09887005649717515,0.29007574915885925,False,161,70,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20
mterie,historical_additive,44,0.5,0.26384180790960454,True,0.5,0.13166426122188568,False,467,354,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20
mterie,historical_additive,44,1.0,0.4101694915254237,True,1.0,0.07850780338048935,False,726,708,fd46e18899cadec44272723306848d742aba4715474cd3789c6951c8e6afef20
mterie,historical_fam,40,0.1,0.21468926553672316,True,0.09887005649717515,0.40994492173194885,False,380,70,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a
mterie,historical_fam,40,0.5,0.4491525423728814,True,0.5,0.20378591120243073,False,795,354,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a
mterie,historical_fam,40,1.0,0.5548022598870056,True,1.0,0.13829229772090912,False,982,708,c77d749c30ed5872c0c81a96c4d64f9ebf7912208b16c964c2f0405732dda13a
