acquisition,configuration,seed,condition,checkpoint_sha256,n_samples,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100
carnation_0025_0026,stage_b_fam,44,vis_ir,0e89d6568c75de2c55149b178718ff8789cd8f2a1e43456974fa257750ce9b85,1313,0.11193999648094177,0.35282111167907715,0.03924166411161423,0.11193999648094177,-1.0,-1.0,0.06905307620763779,0.2889079749584198,0.30366551876068115
carnation_0025_0026,stage_b_rcra,40,vis_ir,304bb429c36adc87fa4f3512f8eca588fe657792455b8254e2bb1fea0002e2fd,1313,0.1347908228635788,0.4180785119533539,0.04508259519934654,0.1347908228635788,-1.0,-1.0,0.07210767269134521,0.3255631923675537,0.3529018759727478
carnation_0025_0026,stage_b_rcra,41,vis_ir,e3f8e8af6223862f8ffe6ea0015591efd716c019300c7670040f67fad6ba3519,1313,0.160965695977211,0.5018120408058167,0.05603170767426491,0.160965695977211,-1.0,-1.0,0.07302405685186386,0.3101756274700165,0.33524245023727417
carnation_0025_0026,stage_b_rcra,42,vis_ir,177bf17ec9f3d77aa90c200e4e2bea899141d3eaa61df63662f3777760258101,1313,0.15031732618808746,0.462533563375473,0.05184893310070038,0.15031732618808746,-1.0,-1.0,0.06527300179004669,0.31880488991737366,0.3340587913990021
carnation_0025_0026,stage_b_rcra,43,vis_ir,bff3756eca0f76f3df37a5a8b90e5d62dc8ea408e30cb597e5944da40b234a41,1313,0.0647357776761055,0.22951796650886536,0.015152780339121819,0.0647357776761055,-1.0,-1.0,0.035414278507232666,0.15666285157203674,0.17959144711494446
carnation_0025_0026,stage_b_rcra,44,vis_ir,604eb7ee24f2118ff6c850cf168ad3002cdf7d56ada427479ce73d0ea67d7a0e,1313,0.1445554494857788,0.46366697549819946,0.04871270805597305,0.1445554494857788,-1.0,-1.0,0.0741504356265068,0.3372279405593872,0.36063382029533386
fhl_0407_0408,historical_additive,40,vis_ir,6ba15c08d2687aaf78457fcb14631ecbd793892b33dfec1f451c34a15090b105,1035,0.08999904245138168,0.24956393241882324,0.035110604017972946,0.08999904245138168,-1.0,-1.0,0.09732937812805176,0.26275965571403503,0.3262116611003876
fhl_0407_0408,historical_additive,41,vis_ir,f77123085e68ed55bec4ee2c36ef23727e5823238a80f0b4190c351d9d22f4cf,1035,0.12211628258228302,0.3624364733695984,0.04124229773879051,0.12211628258228302,-1.0,-1.0,0.09678535908460617,0.30924826860427856,0.3855094015598297
fhl_0407_0408,historical_additive,42,vis_ir,4a944ee64cc1279f2f30124fb882a4bdad62e0f5ac4d73d318cadc9df1002dc7,1035,0.1020946353673935,0.321290522813797,0.03837740793824196,0.1020946353673935,-1.0,-1.0,0.10059347003698349,0.28125616908073425,0.3212166130542755
fhl_0407_0408,historical_additive,43,vis_ir,65f83dbeab40096434b7d5a80a5af24bd681f6054ade4aa28ea1bd30ddc7f746,1035,0.15183402597904205,0.3847464323043823,0.09308810532093048,0.15183402597904205,-1.0,-1.0,0.12878338992595673,0.3229970335960388,0.39025717973709106
